"control_1" "control_2" "control_3" "fe_starved_no_ox_1" "fe_starved_no_ox_2" "fe_starved_no_ox_3" "ox_stress_with_fe_1" "ox_stress_with_fe_2" "ox_stress_with_fe_3" "fe_starved_ox_stress_1" "fe_starved_ox_stress_2" "fe_starved_ox_stress_3"
"Afu6g09720" 271 2800 3109 20 25 10 7362 2625 1394 63 14 34
"Afu6g09730" 6012 12199 11886 218 340 137 15731 9035 5973 237 67 168
"Afu6g09740" 23266 42275 39743 1053 2040 989 45202 32369 23761 1397 736 1379
"Afu6g09745" 253 1954 2112 76 108 108 6000 2193 1145 53 47 53
"Afu6g09760" 1 1 2 0 1 3 2 5 4 0 0 0
"Afu6g09770" 48 52 69 12 17 27 100 50 49 54 59 40
"Afu6g09780" 0 1 0 1 1 5 0 0 1 1 4 3
"Afu6g09785" 0 2 0 4 0 4 1 0 0 1 1 0
"Afu6g09790" 12 1 1 3 4 3 1 0 0 5 1 4
"Afu6g09800" 3 2 3 2 6 6 3 0 5 2 1 3
"Afu6g09810" 312 257 232 284 286 363 324 297 268 147 54 135
"Afu6g09820" 709 701 618 470 526 643 594 613 593 188 200 186
"Afu6g09830" 52 39 26 13 30 24 52 36 31 7 8 15
"Afu6g09850" 93 79 87 242 253 294 76 77 58 22 4 25
"Afu6g09860" 15 18 18 62 48 59 43 27 27 7 1 4
"Afu6g09865" 172 118 122 151 123 126 272 217 162 67 74 92
"Afu6g09870" 106 97 107 195 259 294 130 120 96 217 272 228
"Afu6g09880" 35 51 59 222 353 318 70 67 60 689 1692 788
"Afu6g09890" 2 1 2 3 2 5 0 2 2 3 3 0
"Afu6g09900" 83 71 72 102 139 112 111 95 65 67 26 58
"Afu6g09910" 195 162 145 411 370 370 338 225 188 52 33 51
"Afu6g09920" 2493 2030 1929 1888 2160 2110 2308 2211 1917 2546 1412 2289
"Afu6g09930" 3334 2409 2532 2407 2952 2889 2639 2661 2157 6797 6130 6134
"Afu6g09940" 0 1 0 0 0 1 1 0 0 9 26 8
"Afu6g09950" 732 657 598 653 668 784 854 889 711 1605 918 1609
"Afu6g09960" 31 19 12 72 70 62 49 17 11 46 18 26
"Afu6g09970" 107 96 86 283 271 319 258 126 98 93 22 93
"Afu6g09980" 1786 1458 1296 1990 2560 2402 2569 1943 1585 2880 1652 2462
"Afu6g09990" 3712 3785 3168 4784 5452 6017 4051 4290 3444 1603 1806 1402
"Afu6g10000" 880 839 899 1561 1683 1803 1168 1218 966 1470 2164 1314
"Afu6g10010" 319 254 226 437 438 436 648 417 376 306 164 317
"Afu6g10020" 119 108 82 191 226 202 214 143 86 257 105 231
"Afu6g10030" 320 287 240 480 427 413 524 398 275 495 276 428
"Afu6g10040" 110 81 84 65 59 68 140 106 95 53 7 36
"Afu6g10050" 61 52 67 61 84 82 87 84 58 21 6 20
"Afu6g10060" 1536 1274 1226 1555 1434 1584 1518 1371 1285 1089 261 1027
"Afu6g10070" 143 150 152 275 237 281 233 150 108 33 15 25
"Afu6g10080" 2553 1981 1913 578 671 621 2205 2416 2205 505 1039 593
"Afu6g10090" 797 516 458 467 478 484 476 541 437 250 276 220
"Afu6g10100" 706 646 644 1569 1531 1743 827 948 686 1377 1144 1623
"Afu6g10110" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu6g10120" 1329 1431 1266 287 370 325 695 939 697 1030 1227 941
"Afu6g10130" 87 172 126 202 223 229 394 497 416 67 44 76
"Afu6g10140" 228 223 179 347 361 367 290 292 181 423 235 423
"Afu6g10150" 56 68 55 142 168 150 99 90 56 135 106 183
"Afu6g10160" 5 2 4 6 0 4 1 4 6 5 2 4
"Afu6g10170" 1 0 1 2 1 3 1 3 1 0 0 0
"Afu6g10180" 1 2 3 0 2 0 3 2 1 0 1 0
"Afu6g10190" 0 0 1 2 2 0 2 2 0 1 1 0
"Afu6g10200" 2 9 6 12 9 10 8 5 7 1 2 0
"Afu6g10210" 122 101 81 87 118 107 122 69 71 34 2 21
"Afu6g10220" 348 283 303 604 645 659 408 338 285 307 58 208
"Afu6g10230" 31 36 29 21 30 20 46 39 31 33 12 24
"Afu6g10240" 196 198 201 178 165 185 490 374 289 391 363 401
"Afu6g10250" 12 2 10 8 16 11 4 14 7 6 1 2
"Afu6g10260" 1225 959 858 1089 1092 1068 1376 1172 991 1276 752 1104
"Afu6g10280" 139 138 115 254 213 271 231 293 204 146 76 105
"Afu6g10290" 1725 1361 1631 2435 3157 3181 1081 1354 991 611 164 513
"Afu6g10300" 2085 2002 1934 2586 3091 2911 2439 2295 1866 995 522 864
"Afu6g10310" 68 53 47 1 11 12 136 76 74 7 2 3
"Afu6g10320" 1309 1236 1075 1442 1555 1860 1556 1650 1347 848 584 770
"Afu6g10330" 995 871 822 1476 1572 1762 1436 1431 1108 2371 1368 2359
"Afu6g10340" 453 295 287 774 798 805 762 660 499 174 73 107
"Afu6g10350" 245 153 130 49 49 51 134 100 92 72 48 52
"Afu6g10360" 1756 1029 1074 653 708 767 1266 1300 977 1105 768 858
"Afu6g10370" 763 589 577 640 573 679 701 556 514 324 126 239
"Afu6g10380" 2403 1801 1836 2759 3091 3087 2587 2376 2011 3291 784 3168
"Afu6g10390" 642 521 549 747 944 913 817 702 554 557 818 506
"Afu6g10400" 407 340 356 491 478 480 631 449 329 552 443 544
"Afu6g10410" 1414 1010 1175 1790 2137 2223 1515 1663 1212 3253 1500 3049
"Afu6g10420" 194 150 140 260 250 223 270 255 200 201 194 174
"Afu6g10430" 7 3 7 15 10 18 9 7 5 14 3 10
"Afu6g10440" 736 549 541 536 586 605 507 498 391 3396 1118 2839
"Afu6g10450" 6384 4872 4762 4021 4578 4532 3901 4312 3371 10281 4442 10554
"Afu6g10460" 709 558 579 865 1048 1209 680 679 501 232 226 185
"Afu6g10470" 2008 1583 1541 929 1066 1182 1722 1687 1662 1432 5253 1352
"Afu6g10480" 422 341 322 419 490 500 503 478 366 1355 894 1312
"Afu6g10490" 340 331 260 307 320 340 504 425 324 244 148 191
"Afu6g10500" 355 323 274 480 473 530 531 420 355 243 121 226
"Afu6g10510" 1140 969 918 1389 1514 1594 1287 1081 909 771 218 679
"Afu6g10520" 205 186 161 331 355 394 334 266 262 144 52 111
"Afu6g10530" 244 290 267 591 647 882 422 453 394 909 812 1045
"Afu6g10540" 148 168 116 254 282 303 244 216 150 122 79 114
"Afu6g10550" 370 333 298 937 887 946 723 490 408 1537 1007 1355
"Afu6g10560" 497 412 404 441 403 412 692 588 477 802 447 733
"Afu6g10580" 150 151 120 175 151 170 144 119 100 32 20 27
"Afu6g10590" 2963 1879 1963 2058 2477 2257 2801 2471 1953 3621 3715 3357
"Afu6g10600" 988 867 752 700 696 657 1485 1157 958 938 408 764
"Afu6g10610" 1223 935 921 1228 1123 1233 1417 1356 1012 692 462 597
"Afu6g10620" 694 583 539 416 408 460 661 617 516 329 129 301
"Afu6g10630" 197 166 126 239 220 216 244 175 159 443 132 306
"Afu6g10640" 40 51 30 93 80 82 53 45 60 33 16 26
"Afu6g10650" 10228 7545 7972 11228 13929 15708 6805 8289 5375 1030 183 627
"Afu6g10660" 10194 7253 7649 13432 14404 16856 6660 7434 5087 978 140 617
"Afu6g10670" 10 12 6 15 12 16 23 8 17 6 1 6
"Afu6g10680" 272 257 236 303 323 340 336 294 256 500 294 492
"Afu6g10690" 989 870 821 729 773 843 1077 909 781 458 168 410
"Afu6g10700" 1933 1692 1703 1612 1803 2035 1501 1707 1418 2159 4352 2004
"Afu6g10710" 20 28 13 37 21 30 37 20 16 17 27 13
"Afu6g10720" 676 610 517 251 237 268 573 506 376 151 97 125
"Afu6g10730" 739 686 598 684 775 827 842 716 598 657 470 578
"Afu6g10740" 37 36 38 53 74 45 70 57 59 16 7 18
"Afu6g10750" 119 85 65 150 228 203 154 120 106 39 30 27
"Afu6g10760" 1059 913 831 881 886 869 1310 1221 989 219 63 149
"Afu6g10770" 392 339 333 488 407 397 610 520 443 506 140 483
"Afu6g10780" 45 34 41 57 63 66 73 74 52 22 8 17
"Afu6g10790" 199 179 170 438 374 449 277 237 176 345 181 252
"Afu6g10800" 6 2 2 16 11 18 13 3 10 12 6 12
"Afu6g10810" 103 69 62 103 119 133 173 116 98 18 11 20
"Afu6g10820" 13 18 13 9 8 11 22 9 10 7 4 9
"Afu6g10830" 2920 2453 2434 2335 2398 2692 3341 2925 2529 2524 1707 2631
"Afu6g10840" 490 426 423 1098 1011 1082 1019 1060 762 6541 8960 6503
"Afu6g10850" 22 23 19 47 41 41 41 42 25 17 8 11
"Afu6g10860" 502 300 267 146 147 151 170 190 157 81 71 96
"Afu6g10870" 3 1 0 1 3 3 2 2 1 1 0 0
"Afu6g10880" 423 328 325 31 43 45 515 392 371 22 14 14
"Afu6g10890" 509 376 378 514 608 600 650 494 368 1163 1176 1108
"Afu6g10900" 662 596 535 948 918 857 1153 1019 852 1235 1251 1316
"Afu6g10920" 3 4 3 12 8 12 11 4 5 16 4 9
"Afu6g10930" 226 232 215 328 384 394 327 228 234 95 42 84
"Afu6g10940" 918 602 553 353 417 359 974 592 602 676 333 565
"Afu6g10960" 69 92 66 189 166 230 132 99 83 136 54 147
"Afu6g10965" 60 61 61 110 140 160 96 87 82 106 36 90
"Afu6g10970" 341 336 290 691 646 759 465 427 294 300 197 277
"Afu6g10980" 850 675 673 1105 1099 1188 1091 892 784 626 193 484
"Afu6g10990" 4823 4168 4046 6638 7499 8243 6376 6359 4765 9097 5807 9282
"Afu6g11000" 11 13 10 4 13 11 14 10 9 11 6 12
"Afu6g11010" 1449 1195 1210 1577 2018 2126 1656 1505 1265 1682 821 1330
"Afu6g11020" 325 306 284 419 357 376 593 360 296 91 7 72
"Afu6g11030" 7 5 6 11 10 11 10 5 5 2 3 3
"Afu6g11040" 257 191 188 302 342 365 350 241 204 268 175 220
"Afu6g11060" 408 376 331 466 441 502 679 533 455 188 73 140
"Afu6g11070" 537 535 445 467 446 573 607 570 436 152 162 145
"Afu6g11090" 14 6 7 1 3 5 5 3 15 0 2 1
"Afu6g11100" 141 122 106 102 88 107 145 123 99 30 33 21
"Afu6g11110" 1413 1296 863 550 749 752 1570 579 871 51 9 41
"Afu6g11120" 810 785 635 752 716 830 1028 767 737 316 251 327
"Afu6g11130" 521 450 367 533 484 557 793 775 627 522 200 494
"Afu6g11140" 692 585 555 1651 1401 1628 1018 1063 739 949 869 695
"Afu6g11150" 235 210 182 284 287 282 320 260 206 383 348 358
"Afu6g11160" 1360 1437 1315 360 387 373 2556 2276 1803 723 480 610
"Afu6g11170" 779 722 668 1453 1371 1431 1175 1028 714 724 483 676
"Afu6g11180" 257 209 191 377 371 387 325 227 206 123 70 117
"Afu6g11190" 1301 984 999 1073 1169 1168 1301 1116 918 956 644 772
"Afu6g11200" 1814 1509 1320 2632 3153 3272 1712 1847 1409 515 252 504
"Afu6g11210" 268 219 210 269 299 273 517 341 333 104 68 84
"Afu6g11220" 825 575 575 720 801 716 1029 813 642 1637 1445 1617
"Afu6g11230" 389 334 346 479 496 508 622 457 333 385 178 380
"Afu6g11240" 174 164 153 235 192 199 263 203 182 184 71 183
"Afu6g11250" 642 528 542 1019 1009 1053 865 724 616 1248 563 1017
"Afu6g11260" 10179 9225 8737 4779 4864 5323 9299 10444 8346 1884 843 1542
"Afu6g11270" 1003 757 655 804 801 728 976 842 727 2645 2123 2354
"Afu6g11280" 1 4 0 6 4 5 1 0 1 9 8 7
"Afu6g11290" 396 343 313 401 294 416 298 353 313 486 577 534
"Afu6g11300" 999 682 626 293 321 333 688 546 473 141 133 136
"Afu6g11310" 3330 3513 3213 1229 1753 1905 3434 4018 3141 859 810 537
"Afu6g11320" 39 45 28 47 23 30 52 18 33 9 5 4
"Afu6g11330" 72 77 68 96 106 93 109 83 88 49 39 59
"Afu6g11340" 546 478 451 1359 1196 1297 885 620 513 1494 848 1298
"Afu6g11360" 848 792 690 1413 1502 1740 866 912 740 2972 2473 3111
"Afu6g11370" 421 327 265 715 799 776 704 487 383 887 624 734
"Afu6g11380" 1904 1844 1747 2541 2714 3084 2267 2124 1713 1169 1156 1284
"Afu6g11390" 9779 7128 7128 12555 19939 17669 9801 8058 6191 5790 4829 4903
"Afu6g11400" 1068 992 937 1760 1905 1981 1639 1425 1189 3046 2713 2858
"Afu6g11410" 363 258 276 573 560 577 535 494 361 1228 975 1098
"Afu6g11420" 69 60 63 77 53 50 150 91 73 18 13 14
"Afu6g11430" 3613 3168 2858 885 1093 913 9494 3973 4405 1601 456 1432
"Afu6g11440" 83 93 69 330 346 353 225 124 108 207 96 249
"Afu6g11450" 95 54 61 128 126 115 146 104 75 94 50 61
"Afu6g11455" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu6g11460" 582 493 473 589 611 712 891 773 552 870 536 684
"Afu6g11470" 504 527 450 604 561 595 1013 625 575 783 279 715
"Afu6g11480" 76 50 36 28 23 24 50 32 47 16 9 15
"Afu6g11490" 180 157 134 138 107 129 292 364 236 37 16 46
"Afu6g11500" 8 5 7 13 3 9 16 11 8 1 0 2
"Afu6g11510" 667 641 566 379 450 452 874 770 561 166 97 115
"Afu6g11520" 7 7 6 7 20 18 29 11 17 10 43 5
"Afu6g11530" 34 19 33 51 56 123 75 132 139 248 654 254
"Afu6g11540" 21 19 19 37 63 49 52 48 41 197 107 218
"Afu6g11560" 64 71 62 110 114 116 239 190 157 397 273 417
"Afu6g11570" 485 395 379 413 476 425 495 403 377 626 251 542
"Afu6g11580" 92 81 70 79 80 89 162 122 95 53 41 50
"Afu6g11590" 31 37 36 22 25 17 52 37 35 32 7 39
"Afu6g11600" 10 2 7 14 10 9 11 4 5 17 6 20
"Afu6g11610" 0 0 1 2 4 2 0 0 0 2 0 4
"Afu6g11620" 2320 1885 1857 2995 2946 3180 1711 2127 1766 7636 4683 8201
"Afu6g11630" 9 12 7 37 46 64 17 18 10 23 7 28
"Afu6g11640" 89 55 69 60 76 68 88 74 56 50 22 44
"Afu6g11650" 42 51 32 24 39 44 61 43 37 49 47 52
"Afu6g11660" 23 22 17 38 38 39 44 28 29 13 14 15
"Afu6g11670" 10 15 18 46 65 59 24 22 16 205 156 225
"Afu6g11680" 277 245 226 145 168 182 237 274 212 52 70 64
"Afu6g11700" 0 1 2 0 1 1 0 1 0 0 0 0
"Afu6g11710" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu6g11720" 9 3 6 52 49 39 1 8 3 2 1 2
"Afu6g11740" 83 203 175 44 56 53 409 314 320 48 68 79
"Afu6g11745" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu6g11750" 18 24 26 26 25 41 85 37 49 3 2 7
"Afu6g11760" 6 4 2 3 5 3 14 8 12 1 1 2
"Afu6g11770" 1 0 0 3 5 4 1 0 2 2 0 1
"Afu6g11775" 0 0 0 1 0 0 0 0 0 0 0 0
"Afu6g11780" 23 26 20 3 4 5 4 8 11 8 69 14
"Afu6g11785" 0 1 0 0 0 0 0 0 0 0 0 0
"Afu6g11790" 32 39 30 57 37 51 78 137 124 13 26 15
"Afu6g11800" 2 0 0 6 5 4 5 4 3 0 0 0
"Afu6g11810" 15 14 11 20 18 28 18 23 11 1 0 2
"Afu6g11820" 63 52 43 103 96 85 87 96 87 29 20 25
"Afu6g11840" 2168 1436 1545 1627 2451 1997 1129 1628 981 180 62 121
"Afu6g11850" 54993 39284 45223 22311 35563 29769 25850 46370 28596 2087 241 1273
"Afu6g11870" 39 29 21 16 13 15 23 34 31 24 7 16
"Afu6g11880" 60 39 39 12 19 12 41 61 35 17 15 9
"Afu6g11890" 5115 3344 3822 8222 8593 9289 4322 5910 4057 1812 932 1447
"Afu6g11900" 0 0 0 0 0 0 0 1 0 0 0 0
"Afu6g11910" 1 5 7 0 0 1 11 8 7 2 1 0
"Afu6g11920" 8 2 5 2 6 3 17 12 7 1 0 0
"Afu6g11930" 20 17 11 1 4 9 43 30 30 10 8 8
"Afu6g11950" 0 2 2 8 8 9 0 2 2 8 1 5
"Afu6g11960" 0 0 0 2 0 0 1 1 0 0 0 1
"Afu6g11970" 1 3 0 0 0 0 0 0 1 0 2 0
"Afu6g11980" 2 2 2 0 1 0 1 0 0 1 0 0
"Afu6g11990" 1 1 1 2 1 2 4 2 3 2 1 3
"Afu6g12000" 0 6 2 16 16 25 5 10 9 17 10 17
"Afu6g12010" 4 8 2 9 7 6 11 4 6 1 1 0
"Afu6g12020" 5 5 1 14 27 16 9 7 10 3 0 2
"Afu6g12030" 3 5 5 2 2 0 39 3 5 1 2 3
"Afu6g12040" 57 34 41 11 15 16 175 28 29 19 21 32
"Afu6g12050" 497 992 736 15 13 17 5758 464 1168 5 2 2
"Afu6g12060" 666 1412 899 8 10 12 4183 621 1290 3 3 3
"Afu6g12070" 642 1234 861 8 5 8 4415 681 1222 2 1 5
"Afu6g12080" 524 601 518 187 308 329 2120 533 691 131 221 110
"Afu6g12090" 182 192 167 166 147 143 475 188 197 56 37 38
"Afu6g12100" 0 0 0 0 1 1 1 2 0 2 0 1
"Afu6g12110" 0 0 0 0 2 2 0 0 0 1 2 0
"Afu6g12120" 0 0 0 2 2 5 0 0 0 3 5 1
"Afu6g12130" 0 0 0 24 12 12 1 2 0 3 88 3
"Afu6g12140" 1 2 3 30 43 30 3 0 1 23 252 19
"Afu6g12145" 7 2 4 6 5 2 8 6 1 2 1 0
"Afu6g12150" 21 23 11 33 30 29 18 12 9 13 8 8
"Afu6g12160" 756 578 627 97 120 102 218 306 257 908 11136 726
"Afu6g12170" 3366 3019 2801 5949 5694 6533 5258 3657 3275 1150 526 958
"Afu6g12180" 2505 1828 2296 1685 2106 1751 1092 1728 1287 6979 16873 6202
"Afu6g12190" 63 58 49 107 107 101 62 59 31 79 166 63
"Afu6g12200" 187 101 115 56 55 61 69 84 78 40 30 36
"Afu6g12210" 115 61 92 16 24 17 59 42 40 141 156 164
"Afu6g12220" 33274 19448 18899 2207 2688 2339 9655 11770 10635 5657 6674 5613
"Afu6g12230" 412 299 311 524 470 432 553 472 350 862 539 742
"Afu6g12240" 546 459 441 677 747 670 289 461 293 556 317 475
"Afu6g12250" 429 326 320 802 745 767 472 439 345 315 75 194
"Afu6g12270" 947 782 777 1534 1780 1876 1211 1014 859 2618 1161 2564
"Afu6g12280" 2802 2322 2045 1693 1681 1672 3031 2813 2341 1265 545 1196
"Afu6g12290" 1805 1542 1461 2258 2618 2465 1609 1389 1112 3070 2740 2593
"Afu6g12300" 5587 4705 4569 7748 8485 9634 5300 5708 4744 2074 956 2004
"Afu6g12310" 1601 1424 1365 2061 2118 2319 1541 1606 1252 2261 1406 2104
"Afu6g12320" 254 251 217 244 226 280 311 302 232 225 178 156
"Afu6g12330" 455 323 331 390 512 461 622 686 508 720 432 700
"Afu6g12340" 709 494 491 646 820 747 733 644 508 474 717 455
"Afu6g12350" 1044 662 638 646 651 567 1167 891 713 2001 1883 1555
"Afu6g12360" 1252 1065 1065 1684 1883 2031 1737 1551 1273 1271 1761 1035
"Afu6g12370" 1104 842 864 1058 1186 1237 1289 1060 909 1055 391 1015
"Afu6g12380" 58 53 58 25 36 25 83 55 51 10 5 10
"Afu6g12390" 2116 1817 1768 2924 3216 3581 2460 2292 1827 2834 1620 2855
"Afu6g12400" 15199 10923 11717 13668 19251 18171 17053 15432 11861 12866 16492 9835
"Afu6g12410" 291 130 131 100 131 95 591 380 342 110 173 71
"Afu6g12420" 720 601 598 405 466 445 808 628 556 184 473 157
"Afu6g12430" 557 459 371 563 491 501 842 575 489 2309 1948 2552
"Afu6g12440" 736 606 439 883 809 641 1496 1009 774 3398 3278 2603
"Afu6g12450" 198 177 142 185 192 210 249 172 141 254 118 290
"Afu6g12460" 291 249 251 323 377 381 394 319 240 436 117 412
"Afu6g12470" 323 326 282 296 328 313 458 444 309 368 178 356
"Afu6g12480" 521 394 390 101 111 104 500 382 346 18 11 21
"Afu6g12490" 632 486 493 314 348 363 849 675 555 177 90 146
"Afu6g12500" 1167 954 897 545 639 631 1267 1046 917 355 134 339
"Afu6g12522" 724 674 584 988 1123 1086 993 764 574 1038 520 900
"Afu6g12530" 1505 1445 1305 1890 1864 2274 2159 1818 1614 1489 708 1239
"Afu6g12540" 3112 2154 2035 3372 3349 3996 4054 3310 2786 9864 14216 10336
"Afu6g12550" 1433 1216 1083 5395 5256 6355 1319 1233 993 18278 24298 16043
"Afu6g12560" 1196 956 856 979 1079 1147 1326 1165 983 3443 1926 3329
"Afu6g12570" 1800 1502 1509 1930 2558 2305 2582 2336 1841 2891 1947 2595
"Afu6g12580" 3128 2709 2631 5683 5427 6345 5041 4038 3348 1712 727 1688
"Afu6g12590" 299 274 256 1386 1017 1377 587 446 344 1571 904 1631
"Afu6g12600" 611 511 477 1316 1435 1825 906 767 648 2392 1475 2616
"Afu6g12610" 515 441 380 845 798 884 759 609 469 816 483 812
"Afu6g12620" 696 622 559 540 535 600 750 773 672 256 146 212
"Afu6g12630" 4765 4172 4183 4947 5214 5549 4781 5328 4359 2147 750 1979
"Afu6g12640" 303 286 245 388 364 395 458 372 291 530 638 533
"Afu6g12650" 773 701 662 758 733 812 926 805 672 1481 1159 1418
"Afu6g12660" 13021 11962 10751 5290 5436 5793 11017 11987 9972 1448 533 1289
"Afu6g12670" 283 233 254 155 167 159 493 320 304 53 5 28
"Afu6g12675" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu6g12680" 2495 1941 1964 1682 1533 1906 3150 2646 2541 996 154 829
"Afu6g12690" 2114 2068 1865 2679 2776 3018 2345 2365 1824 2074 1496 2185
"Afu6g12700" 332 352 294 341 340 357 518 406 295 234 122 208
"Afu6g12710" 945 801 775 1925 1891 2082 1470 1182 938 2415 1165 2619
"Afu6g12720" 5655 5205 5034 3066 2955 3352 5764 6272 5086 1114 468 886
"Afu6g12730" 11184 10306 9718 21323 24548 27010 15861 13962 11423 32736 50676 29812
"Afu6g12740" 3484 2969 2922 1601 1719 1690 3311 3359 2859 8677 5372 8069
"Afu6g12750" 301 302 254 322 341 376 488 385 324 206 92 167
"Afu6g12760" 691 609 598 1029 1062 1119 881 671 487 512 213 411
"Afu6g12770" 2113 2243 2210 1217 1285 1439 2929 2414 1911 2040 713 1954
"Afu6g12780" 667 2977 3102 214 271 167 4425 2915 1962 341 118 426
"Afu6g12790" 4062 3311 3217 1301 1299 1399 3896 3884 3369 620 229 447
"Afu6g12800" 236 215 181 271 260 285 261 191 173 394 54 372
"Afu6g12820" 1862 1393 1429 6365 6234 7586 2282 1899 1520 1856 558 1745
"Afu6g12830" 3367 2701 2625 2990 3548 3530 3528 3342 2869 3685 1909 3695
"Afu6g12840" 520 381 388 456 414 372 1394 621 526 136 97 76
"Afu6g12860" 973 806 816 754 812 874 1068 1043 862 892 527 900
"Afu6g12870" 1115 873 814 3252 3033 3466 1334 1079 923 9928 5544 9297
"Afu6g12880" 374 300 302 616 542 730 443 378 336 80 36 100
"Afu6g12890" 977 765 787 1131 1214 1188 1334 1035 823 3839 2660 3381
"Afu6g12900" 1028 859 735 1342 1338 1438 1266 1068 889 4164 2905 4115
"Afu6g12910" 718 594 571 620 628 685 1004 1000 772 1881 1309 1939
"Afu6g12920" 460 467 492 655 566 713 834 648 559 3046 4303 3120
"Afu6g12930" 30691 28065 27143 3529 4179 4400 29790 32407 28226 55497 47067 46801
"Afu6g12940" 197 180 191 255 205 226 296 239 181 179 111 163
"Afu6g12950" 2870 2389 2310 4287 4347 4338 4499 3378 2810 13388 6736 13740
"Afu6g12960" 919 866 787 676 690 771 836 859 696 935 746 996
"Afu6g12970" 643 434 379 564 686 653 698 614 460 930 1021 972
"Afu6g12980" 1832 1387 1337 1235 1492 1486 1922 1688 1392 1392 1491 1334
"Afu6g12990" 13287 11363 10686 6311 6314 6822 11597 13435 10683 1369 699 928
"Afu6g13010" 168 146 148 198 230 249 257 196 173 617 292 618
"Afu6g13020" 161 163 126 140 146 150 246 188 137 294 124 309
"Afu6g13030" 1756 1268 1245 1881 2526 2371 2369 1915 1526 2474 1898 2236
"Afu6g13050" 488 371 386 1178 1082 1180 802 567 444 819 149 754
"Afu6g13060" 1578 1305 1396 1701 2150 2280 1901 1567 1314 906 748 898
"Afu6g13070" 838 737 646 1034 954 1022 1131 876 700 970 521 935
"Afu6g13080" 50 41 35 74 71 68 83 26 41 17 10 23
"Afu6g13090" 39 40 43 101 84 98 83 61 44 50 49 37
"Afu6g13100" 217 224 180 374 333 418 329 260 208 352 183 297
"Afu6g13110" 135 127 105 192 195 221 186 144 124 239 117 234
"Afu6g13120" 1987 1576 1565 1582 1860 1998 2003 1831 1514 1549 811 1399
"Afu6g13130" 370 397 304 537 467 518 646 403 341 985 713 854
"Afu6g13140" 939 1015 949 1115 1035 1206 1171 1045 895 674 628 894
"Afu6g13150" 418 320 308 759 735 745 742 470 413 560 90 454
"Afu6g13160" 284 251 258 719 555 682 668 574 435 833 481 868
"Afu6g13170" 385 337 310 293 311 326 525 436 368 196 124 164
"Afu6g13180" 638 519 495 358 419 423 1039 815 744 265 244 278
"Afu6g13190" 1253 1096 1033 2469 1993 2390 2291 2139 1614 3108 4037 2584
"Afu6g13200" 2699 2094 2017 3581 4641 4524 3280 2662 2249 6735 5013 6169
"Afu6g13210" 9669 6714 7136 4764 6115 5912 8789 7250 6620 5908 13832 4878
"Afu6g13220" 444 370 352 703 744 747 650 682 489 1125 2100 1417
"Afu6g13230" 802 625 616 601 569 584 960 729 668 384 70 390
"Afu6g13250" 6441 6088 5449 2215 2566 2540 5887 6554 5540 661 299 526
"Afu6g13260" 1452 1064 1091 950 1271 1275 1233 1313 1050 1092 850 1090
"Afu6g13270" 346 256 204 128 135 115 262 165 173 48 37 47
"Afu6g13280" 750 644 655 784 808 865 1242 1053 896 982 341 998
"Afu6g13290" 628 555 528 730 839 879 872 704 620 557 418 551
"Afu6g13300" 10195 8900 8435 11713 11479 13598 11351 11275 9693 12176 10658 11785
"Afu6g13310" 1172 1031 839 2462 2085 2247 1962 1382 1058 2383 874 2307
"Afu6g13320" 83 81 87 71 91 71 71 44 34 48 146 55
"Afu6g13330" 11105 8184 7974 2378 2995 2917 6059 7122 5831 16425 21925 16590
"Afu6g13340" 644 443 372 365 314 316 548 448 341 1160 1763 1196
"Afu6g13346" 1000 834 848 2676 2375 2783 772 671 531 1126 1091 1286
"Afu6g13350" 582 454 479 3530 3613 4057 721 507 416 865 2401 692
"Afu6g13360" 753 553 601 839 965 962 856 797 599 1762 2043 1547
"Afu6g13370" 1689 1681 1521 1087 1333 1510 1646 1783 1398 1294 1948 1135
"Afu6g13380" 2914 1495 1296 1370 1497 1800 678 978 795 3051 3026 4273
"Afu6g13390" 1195 692 667 137 132 106 213 254 196 94 81 109
"Afu6g13400" 307 264 256 294 229 258 374 279 239 70 9 41
"Afu6g13405" 22 26 14 21 25 28 24 17 10 8 6 9
"Afu6g13410" 3322 2943 2638 3002 3195 3701 3676 3318 2887 2321 1731 1854
"Afu6g13420" 3826 3077 2668 2011 2372 2487 3423 3182 2803 6986 9087 5916
"Afu6g13430" 1455 1177 1065 1459 1658 1705 1734 1391 1112 792 352 689
"Afu6g13440" 1277 726 623 282 382 336 674 763 632 577 491 527
"Afu6g13450" 459 359 324 290 296 308 373 332 261 755 276 835
"Afu6g13460" 995 843 905 1738 2049 2040 1279 1155 907 1532 2148 1450
"Afu6g13470" 71 72 74 124 140 134 112 88 92 145 214 167
"Afu6g13480" 15 16 9 5 2 4 19 10 11 6 8 7
"Afu6g13490" 48262 27004 27637 5098 7005 5018 13985 18141 14809 4558 4746 4107
"Afu6g13500" 2033 1666 1580 687 813 759 1303 1355 1114 594 1281 657
"Afu6g13510" 2233 1343 1222 1739 2214 2000 1816 2032 1492 1000 2061 768
"Afu6g13520" 1003 688 677 1456 1684 1636 916 772 687 1712 1218 1582
