"control_1" "control_2" "control_3" "fe_starved_no_ox_1" "fe_starved_no_ox_2" "fe_starved_no_ox_3" "ox_stress_with_fe_1" "ox_stress_with_fe_2" "ox_stress_with_fe_3" "fe_starved_ox_stress_1" "fe_starved_ox_stress_2" "fe_starved_ox_stress_3"
"Afu1g02660" 4 2 2 6 4 7 5 2 2 2 3 3
"Afu1g02670" 2209 2007 1939 2075 2192 2352 2570 2453 2092 3972 2234 4241
"Afu1g02680" 1319 1220 1097 917 1107 1134 1122 1145 980 679 944 636
"Afu1g02685" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu1g02700" 196 203 191 234 256 226 316 196 163 536 1290 440
"Afu1g02710" 434 467 388 481 468 563 528 454 396 878 690 891
"Afu1g02720" 449 346 316 936 960 1143 419 458 343 917 1187 1047
"Afu1g02730" 348 275 246 1084 871 1100 396 377 280 157 83 156
"Afu1g02740" 0 2 1 18 15 8 2 0 0 6 4 5
"Afu1g02750" 0 0 0 11 3 10 2 1 0 1 9 5
"Afu1g02760" 1879 1565 1541 2942 3604 3820 2296 1987 1616 1031 1566 851
"Afu1g02770" 241 225 218 99 89 90 791 408 347 74 40 59
"Afu1g02780" 195 166 131 358 288 306 178 167 146 148 110 123
"Afu1g02800" 795 735 668 678 657 747 1090 829 750 302 106 252
"Afu1g02810" 283 290 220 317 296 314 383 279 283 443 336 378
"Afu1g02820" 965 4271 4036 135 129 147 3696 1893 2077 99 42 79
"Afu1g02830" 1088 936 898 1239 1372 1399 1371 1290 1011 3349 2563 3799
"Afu1g02840" 835 643 648 949 1048 972 1153 868 739 386 328 351
"Afu1g02850" 383 401 341 345 343 332 487 363 312 488 816 580
"Afu1g02860" 6 8 2 16 11 10 4 7 9 6 4 5
"Afu1g02870" 1178 1206 1135 3823 3714 4342 2467 2814 1842 3719 1512 3152
"Afu1g02880" 469 475 463 373 422 463 738 734 614 234 387 247
"Afu1g02890" 1080 994 919 860 822 916 1811 1433 1310 363 259 329
"Afu1g02900" 231 219 181 285 263 298 409 364 256 99 300 107
"Afu1g02910" 3598 3102 3207 5045 6359 6227 2856 3370 2454 5340 10528 5159
"Afu1g02920" 320 223 245 564 580 610 449 398 283 767 574 811
"Afu1g02930" 505 380 426 466 429 460 698 576 521 554 245 418
"Afu1g02940" 274 178 184 369 439 411 344 335 282 980 661 1059
"Afu1g02950" 1829 1880 1584 262 327 352 1844 1279 1369 259 403 213
"Afu1g02960" 495 510 481 107 186 176 578 421 454 85 205 123
"Afu1g02970" 826 816 896 122 139 152 975 1286 930 517 1477 643
"Afu1g02980" 7906 5778 5408 4251 5173 5245 5432 6517 5130 7278 6744 6538
"Afu1g02985" 437 304 305 359 386 355 425 364 265 495 312 448
"Afu1g02990" 1520 1193 1156 1095 1298 1160 1798 1896 1455 2786 3032 2210
"Afu1g03000" 131 123 104 205 175 233 176 146 112 32 29 24
"Afu1g03010" 851 755 699 781 934 882 927 841 642 1179 1046 1103
"Afu1g03020" 468 358 360 511 460 480 497 435 361 461 213 406
"Afu1g03030" 693 483 480 1209 1186 1090 1221 894 656 2482 1060 2157
"Afu1g03035" 279 238 201 180 183 166 310 326 280 86 33 83
"Afu1g03040" 36262 21009 21459 14039 18336 16558 16665 15843 14492 45966 54532 50632
"Afu1g03050" 970 673 850 709 826 806 1279 1046 867 850 2176 983
"Afu1g03060" 1603 1338 1287 1110 1129 1161 1588 1611 1282 1118 381 1092
"Afu1g03070" 964 845 743 847 831 967 1106 914 789 836 430 854
"Afu1g03080" 282 201 215 333 273 292 295 241 222 169 95 124
"Afu1g03090" 2396 1856 1636 690 912 716 2752 2347 2147 27938 57330 30538
"Afu1g03100" 4019 3372 3308 3700 3414 3989 3699 4069 3112 1763 1149 1799
"Afu1g03110" 3841 3581 3324 1598 1777 1637 4049 4233 3316 684 290 576
"Afu1g03120" 419 380 367 378 388 361 421 413 320 211 86 202
"Afu1g03130" 696 620 509 795 852 896 708 699 505 574 294 603
"Afu1g03140" 317 218 236 310 319 294 418 250 223 168 91 136
"Afu1g03150" 795 691 848 4675 4379 5043 744 766 488 8835 13531 8959
"Afu1g03160" 3 25 21 52 20 43 80 16 19 15 13 16
"Afu1g03170" 15 23 22 182 169 203 60 42 30 119 266 162
"Afu1g03180" 86 64 81 107 109 154 236 291 217 42 21 27
"Afu1g03190" 8 16 9 7 1 2 33 16 11 11 18 5
"Afu1g03195" 18 15 18 130 124 145 30 22 21 324 267 236
"Afu1g03200" 211 164 203 1605 1709 1734 261 232 169 3231 2845 2781
"Afu1g03210" 189 179 129 146 134 150 772 438 371 204 124 190
"Afu1g03215" 0 0 0 0 0 0 0 0 1 1 1 0
"Afu1g03220" 1 0 0 0 0 0 0 1 0 0 0 0
"Afu1g03230" 0 0 0 1 0 0 1 1 0 2 1 1
"Afu1g03240" 0 0 0 0 0 0 0 0 0 0 3 0
"Afu1g03250" 1 0 0 0 0 0 0 0 0 2 7 5
"Afu1g03260" 0 0 0 1 0 0 0 0 0 6 6 4
"Afu1g03270" 3 1 4 5 4 2 2 1 2 4 7 2
"Afu1g03280" 37 20 20 100 163 89 22 27 19 40 13 23
"Afu1g03290" 13 6 13 22 40 26 11 5 10 10 8 7
"Afu1g03300" 54 33 21 80 133 117 37 38 30 55 40 31
"Afu1g03310" 0 3 0 1 2 4 0 1 0 3 1 1
"Afu1g03320" 114 100 103 265 382 270 50 55 47 43 33 27
"Afu1g03336" 0 0 1 0 0 0 1 1 0 0 0 0
"Afu1g03352" 490 382 474 1571 1229 1674 51 138 81 117 104 86
"Afu1g03360" 105 111 133 716 597 856 29 54 42 209 69 284
"Afu1g03370" 330 330 272 943 762 813 768 500 367 589 264 529
"Afu1g03380" 1916 1619 1485 2970 3942 3734 2706 2377 1910 1830 813 1425
"Afu1g03390" 8703 8178 7686 4928 4729 5211 8078 9444 7217 1254 582 863
"Afu1g03400" 2916 2278 2130 2638 2664 2960 2759 2621 2217 2911 1442 2854
"Afu1g03405" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu1g03410" 487 463 400 817 788 909 815 752 594 346 165 303
"Afu1g03420" 517 429 349 698 681 731 683 412 335 296 129 232
"Afu1g03430" 320 271 264 492 488 544 420 289 282 374 329 364
"Afu1g03440" 431 311 312 651 645 736 590 384 351 532 131 496
"Afu1g03450" 506 407 378 845 820 859 820 564 462 554 265 522
"Afu1g03460" 817 658 683 666 732 818 879 807 700 1340 624 1370
